designation,ra,dec,w1mpro,w2mpro,w3mpro,w4mpro,w1sigmpro,w2sigmpro,w3sigmpro,w4sigmpro,w1snr,w2snr,w3snr,w4snr,w1_w2_color,T_eff_K,pmra_value,pmdec_value,pm_total,pm_angle,pm_class,n_epochs,baseline_years,rms_w1,rms_w2,chi2_w1,chi2_w2,trend_w1,trend_w2,is_variable,is_fading,variability_flag,variability_score,ps1_detected,rosat_detected,detection_count,detection_fraction,mag_mean,mag_std,mag_min,mag_max,mag_range,color_mean,color_std,if_score,xgb_score,lgb_score,ml_ensemble_score,improved_composite_score,rank,p_false_positive_proxy,golden_flag,neowise_parallax_mas,neowise_parallax_err_mas,parallax_snr,distance_pc,distance_err_pc
J043338.57-731619.4,68.4107443,-73.2720817,14.103,10.432,5.502,3.798,0.025,0.021,0.015,0.021,43.8,52.9,73.8,52.7,3.6709995,277.6539536403536,296.0,69.0,303.9358484943821,76.87821645866651,VERY_HIGH,340,7.934684616273669,0.0323228512759773,0.057991997508665,0.7544529949969766,0.8038458753579748,0.0085656726454543,0.0041489846173058,False,False,NORMAL,1.6110202595424157,False,False,0,0.0,14.103,0.0323228512759773,14.038354297448045,14.167645702551956,0.1292914051039098,3.6709995,0.027545559568754,0.9785129666679904,0.9971103025644332,0.9626612597983576,0.9794281763435938,0.8464914341324602,2,0.0020571823656406,TOP_ML,75.12080560667499,2.221313410998472,33.81819298201081,13.311891318576905,0.3936310649613363
J161308.63-513447.6,243.2859947,-51.5799066,11.97,8.416,5.568,3.959,0.096,0.024,0.029,0.047,11.3,44.6,37.5,23.0,3.554,309.8360167545899,-548.0,-396.0,676.1065004864248,-125.85291961512485,VERY_HIGH,302,9.204925810006417,0.025044336360703,0.0319755905622832,1.95420786221492,1.8098234325995264,0.0011048479976661,0.0016323014920862,False,False,NORMAL,2.064692661981532,False,False,0,0.0,11.97,0.025044336360703,11.919911327278594,12.020088672721409,0.1001773454428125,3.554,0.0543830065532787,1.0,1.0,0.935062693120918,0.978354231040306,0.9274497784177111,1,0.0021645768959693,TOP_ML,,,,,
J143046.35-025927.8,217.6931509,-2.9910653,13.997,10.629,6.104,4.495,0.026,0.02,0.015,0.024,42.0,55.2,71.9,44.4,3.368,293.2347791353745,-5.0,55.0,55.22680508593631,-5.194428907734806,MODERATE,320,9.5,0.08,0.07,13.758507443646906,15.53006555862044,0.0255,0.02,True,True,FADING,16.308507443646906,False,False,0,0.0,13.997,0.08,13.837,14.157,0.3200000000000003,3.368,0.0385850741250104,0.851199718529599,0.8388350103526996,0.7742409067387597,0.8214252118736861,0.674566488518475,4,0.0178574788126313,TOP_ML,57.57587538876341,9.89855817846351,5.816592108740887,17.36838551299146,2.986007130685872
J054235.56-713535.8,85.6482028,-71.5932884,13.004,9.864,5.735,4.275,0.025,0.02,0.012,0.017,44.3,55.3,87.9,62.6,3.1399994,324.14534597832017,420.0,334.0,536.6153184544772,51.5069426706625,VERY_HIGH,332,8.335939392709834,0.0250852244257602,0.0569920419404205,5.592173500695618,5.13836127439215,-0.0091572938292717,0.003445136805313,True,False,VARIABLE,6.507902883622795,False,False,0,0.0,13.004,0.0250852244257602,12.95382955114848,13.05417044885152,0.1003408977030417,3.1399994,0.0457202231154898,0.8376084350608837,0.797171514728962,0.7350534879193601,0.7899444792364019,0.7529512492645158,3,0.0210055520763598,TOP_ML,33.24106292014018,2.268107096435416,14.65586125645576,30.083273883342564,2.0526445602158785
J044024.40-731441.6,70.1016701,-73.2448907,10.787,8.605,5.619,4.389,0.023,0.019,0.014,0.022,48.1,55.8,77.6,48.8,2.1820002,465.84525315486167,164.0,22.0,165.46903033498444,82.35959323897325,HIGH,380,9.3,0.09,0.08,13.056284027324844,16.8509876190667,0.03,0.025,True,True,FADING,16.056284027324843,False,False,0,0.0,10.787,0.09,10.607,10.967,0.3599999999999994,2.1820002,0.0815490655952694,0.6267994468854061,0.5106827445079284,0.463627338315779,0.5337031765697045,0.4799521406340844,7,0.0466296823430295,TOP_ML,32.756129120619505,1.4070859534311193,23.279408795706527,30.52863774952317,1.311400904440221
J024626.34-024715.2,41.6097542,-2.7875736,12.402,9.989,6.295,4.339,0.024,0.021,0.015,0.021,46.1,52.8,72.0,50.9,2.413,246.2492527210198,-52.0,65.0,83.24061508662703,-38.65980825409009,MODERATE,350,9.393415877991789,0.0502046612203917,0.0591854165217041,2.792810779245679,2.261507329697791,-0.0068343713372226,0.0008764021152354,False,False,NORMAL,3.476247912967941,False,False,0,0.0,12.402,0.0502046612203917,12.301590677559217,12.502409322440784,0.2008186448815685,2.413,0.0538817998579661,0.6026144123087497,0.51598526893367,0.4747141998006828,0.5311046270143676,0.4564759557065193,8,0.0468895372985632,TOP_ML,41.455672879294205,6.969952151128822,5.947770082263798,24.122150975855185,4.055662986669112
J055348.26-573136.0,88.4510918,-57.5266895,13.95,11.13,8.062,6.488,0.025,0.021,0.019,0.054,43.9,52.7,57.0,20.3,2.8199997,314.12869994433674,122.0,356.0,376.3243282064023,18.916414628760364,VERY_HIGH,304,8.218685672000918,0.0577063475945767,0.0261418080947869,2.388891800745629,2.366006601618539,0.0023458782605235,-0.0021556401747386,False,False,NORMAL,2.623479626797982,False,False,0,0.0,13.95,0.0577063475945767,13.834587304810846,14.065412695189153,0.2308253903783068,2.8199997,0.063496389843332,0.5572561479045142,0.5200944632617959,0.5034774088618738,0.5269426733427279,0.5057849178786412,6,0.0473057326657272,TOP_ML,23.76085161112955,4.024058632207685,5.904698162435529,42.08603363069703,7.12755037987203
J054854.58-722401.3,87.2274253,-72.4003719,11.31,9.226,6.277,5.045,0.023,0.02,0.015,0.026,46.9,54.6,72.0,41.2,2.0840006,471.45323126392105,172.0,221.0,280.04463929880893,37.89292783451186,HIGH,361,8.679293174000282,0.0212827569764112,0.049959965824909,3.626452029572525,3.7945209471471104,0.0115096058236779,-0.0067057492491011,True,False,VARIABLE,4.777412611940318,False,False,0,0.0,11.31,0.0212827569764112,11.267434486047176,11.352565513952824,0.0851310279056463,2.0840006,0.0537321824631271,0.5380822811881482,0.4326670638065015,0.4192312358052574,0.4633268602666356,0.4437819527153623,9,0.0536673139733364,TOP_ML,,,,,
J173438.58-311045.3,263.6607884,-31.1792752,10.735,8.838,5.848,4.002,0.096,0.03,0.017,0.034,11.3,36.1,64.6,32.2,1.8969994,261.41909601270174,253.0,746.0,787.7340921910134,18.73396061402733,VERY_HIGH,402,7.781024303484277,0.0826482260786327,0.0444818496362083,0.5301172501531674,0.5384912562807708,-0.0030708335002171,0.0081524981407114,False,False,NORMAL,0.83720060017488,False,False,0,0.0,10.735,0.0826482260786327,10.569703547842732,10.900296452157264,0.3305929043145319,1.8969994,0.0549876736742151,0.528817469017646,0.4076787919938618,0.3682645331227261,0.4349202647114114,0.5303395809892594,5,0.0565079735288588,TOP_ML,,,,,
J183821.26+652746.7,279.5886175,65.462999,13.905,11.613,7.516,5.871,0.023,0.02,0.015,0.029,46.4,54.6,74.0,37.3,2.2919998,288.52525758474764,336.0,-227.0,405.493526458808,124.04277306768276,VERY_HIGH,428,8.255346887476092,0.0642800098818418,0.0009582440095499,4.255649353426052,4.660844395761471,-0.000751968932381,0.0056890148383906,True,False,VARIABLE,4.330846246664156,False,False,0,0.0,13.905,0.0642800098818418,13.776439980236317,14.033560019763684,0.2571200395273685,2.2919998,0.031626961070316,0.4407933175657154,0.3765247774984103,0.3556616414790137,0.3909932455143798,0.4069815655530872,11,0.060900675448562,TOP_ML,,,0.0,,
