designation,ra,dec,w1mpro,w2mpro,w3mpro,w4mpro,w1sigmpro,w2sigmpro,w3sigmpro,w4sigmpro,w1snr,w2snr,w3snr,w4snr,w1_w2_color,T_eff_K,pmra_value,pmdec_value,pm_total,pm_angle,pm_class,n_epochs,baseline_years,rms_w1,rms_w2,chi2_w1,chi2_w2,trend_w1,trend_w2,is_variable,is_fading,variability_flag,variability_score,ps1_detected,rosat_detected,detection_count,detection_fraction,mag_mean,mag_std,mag_min,mag_max,mag_range,color_mean,color_std,if_score,xgb_score,lgb_score,ml_ensemble_score,improved_composite_score,rank,p_false_positive_proxy,golden_flag,neowise_parallax_mas,neowise_parallax_err_mas,parallax_snr,distance_pc,distance_err_pc
J161308.63-513447.6,243.2859947,-51.5799066,11.97,8.416,5.568,3.959,0.096,0.024,0.029,0.047,11.3,44.6,37.5,23.0,3.554,309.8360167545899,-548.0,-396.0,676.1065004864248,-125.85291961512485,VERY_HIGH,302,9.204925810006417,0.025044336360703,0.0319755905622832,1.95420786221492,1.8098234325995264,0.0011048479976661,0.0016323014920862,False,False,NORMAL,2.064692661981532,False,False,0,0.0,11.97,0.025044336360703,11.919911327278594,12.020088672721409,0.1001773454428125,3.554,0.0543830065532787,1.0,1.0,0.935062693120918,0.978354231040306,0.9274497784177111,1,0.0021645768959693,TOP_ML,,,,,
J043338.57-731619.4,68.4107443,-73.2720817,14.103,10.432,5.502,3.798,0.025,0.021,0.015,0.021,43.8,52.9,73.8,52.7,3.6709995,277.6539536403536,296.0,69.0,303.9358484943821,76.87821645866651,VERY_HIGH,340,7.934684616273669,0.0323228512759773,0.057991997508665,0.7544529949969766,0.8038458753579748,0.0085656726454543,0.0041489846173058,False,False,NORMAL,1.6110202595424157,False,False,0,0.0,14.103,0.0323228512759773,14.038354297448045,14.167645702551956,0.1292914051039098,3.6709995,0.027545559568754,0.9785129666679904,0.9971103025644332,0.9626612597983576,0.9794281763435938,0.8464914341324602,2,0.0020571823656406,TOP_ML,75.12080560667499,2.221313410998472,33.81819298201081,13.311891318576905,0.3936310649613363
J054235.56-713535.8,85.6482028,-71.5932884,13.004,9.864,5.735,4.275,0.025,0.02,0.012,0.017,44.3,55.3,87.9,62.6,3.1399994,324.14534597832017,420.0,334.0,536.6153184544772,51.5069426706625,VERY_HIGH,332,8.335939392709834,0.0250852244257602,0.0569920419404205,5.592173500695618,5.13836127439215,-0.0091572938292717,0.003445136805313,True,False,VARIABLE,6.507902883622795,False,False,0,0.0,13.004,0.0250852244257602,12.95382955114848,13.05417044885152,0.1003408977030417,3.1399994,0.0457202231154898,0.8376084350608837,0.797171514728962,0.7350534879193601,0.7899444792364019,0.7529512492645158,3,0.0210055520763598,TOP_ML,33.24106292014018,2.268107096435416,14.65586125645576,30.083273883342564,2.0526445602158785
J173438.58-311045.3,263.6607884,-31.1792752,10.735,8.838,5.848,4.002,0.096,0.03,0.017,0.034,11.3,36.1,64.6,32.2,1.8969994,261.41909601270174,253.0,746.0,787.7340921910134,18.73396061402733,VERY_HIGH,402,7.781024303484277,0.0826482260786327,0.0444818496362083,0.5301172501531674,0.5384912562807708,-0.0030708335002171,0.0081524981407114,False,False,NORMAL,0.83720060017488,False,False,0,0.0,10.735,0.0826482260786327,10.569703547842732,10.900296452157264,0.3305929043145319,1.8969994,0.0549876736742151,0.528817469017646,0.4076787919938618,0.3682645331227261,0.4349202647114114,0.5303395809892594,5,0.0565079735288588,TOP_ML,,,,,
J055348.26-573136.0,88.4510918,-57.5266895,13.95,11.13,8.062,6.488,0.025,0.021,0.019,0.054,43.9,52.7,57.0,20.3,2.8199997,314.12869994433674,122.0,356.0,376.3243282064023,18.916414628760364,VERY_HIGH,304,8.218685672000918,0.0577063475945767,0.0261418080947869,2.388891800745629,2.366006601618539,0.0023458782605235,-0.0021556401747386,False,False,NORMAL,2.623479626797982,False,False,0,0.0,13.95,0.0577063475945767,13.834587304810846,14.065412695189153,0.2308253903783068,2.8199997,0.063496389843332,0.5572561479045142,0.5200944632617959,0.5034774088618738,0.5269426733427279,0.5057849178786412,6,0.0473057326657272,TOP_ML,23.76085161112955,4.024058632207685,5.904698162435529,42.08603363069703,7.12755037987203
J044024.40-731441.6,70.1016701,-73.2448907,10.787,8.605,5.619,4.389,0.023,0.019,0.014,0.022,48.1,55.8,77.6,48.8,2.1820002,465.84525315486167,164.0,22.0,165.46903033498444,82.35959323897325,HIGH,380,9.3,0.09,0.08,13.056284027324844,16.8509876190667,0.03,0.025,True,True,FADING,16.056284027324843,False,False,0,0.0,10.787,0.09,10.607,10.967,0.3599999999999994,2.1820002,0.0815490655952694,0.6267994468854061,0.5106827445079284,0.463627338315779,0.5337031765697045,0.4799521406340844,7,0.0466296823430295,TOP_ML,32.756129120619505,1.4070859534311193,23.279408795706527,30.52863774952317,1.311400904440221
J054854.58-722401.3,87.2274253,-72.4003719,11.31,9.226,6.277,5.045,0.023,0.02,0.015,0.026,46.9,54.6,72.0,41.2,2.0840006,471.45323126392105,172.0,221.0,280.04463929880893,37.89292783451186,HIGH,361,8.679293174000282,0.0212827569764112,0.049959965824909,3.626452029572525,3.7945209471471104,0.0115096058236779,-0.0067057492491011,True,False,VARIABLE,4.777412611940318,False,False,0,0.0,11.31,0.0212827569764112,11.267434486047176,11.352565513952824,0.0851310279056463,2.0840006,0.0537321824631271,0.5380822811881482,0.4326670638065015,0.4192312358052574,0.4633268602666356,0.4437819527153623,9,0.0536673139733364,TOP_ML,,,,,
J193555.86-502607.4,293.9827541,-50.4353902,16.246,13.618,9.098,7.193,0.081,0.033,0.033,0.091,13.4,32.6,32.9,11.9,2.6280003,251.5784522814953,-502.0,-571.0,760.2927067912726,-138.67937824863745,VERY_HIGH,415,9.47283867690103,0.0449486369721367,0.0538028798342222,1.8353532056395,1.5162633523492826,0.0005616402484541,-0.0048048556886557,False,False,NORMAL,1.8915172304849148,False,False,0,0.0,16.246,0.0449486369721367,16.156102726055725,16.335897273944273,0.1797945478885481,2.6280003,0.0438444353009399,0.3647991117394826,0.3432208293186189,0.3119145076573383,0.3399781495718133,0.4348706620901311,10,0.0660021850428186,TOP_ML,,,,,
J183821.26+652746.7,279.5886175,65.462999,13.905,11.613,7.516,5.871,0.023,0.02,0.015,0.029,46.4,54.6,74.0,37.3,2.2919998,288.52525758474764,336.0,-227.0,405.493526458808,124.04277306768276,VERY_HIGH,428,8.255346887476092,0.0642800098818418,0.0009582440095499,4.255649353426052,4.660844395761471,-0.000751968932381,0.0056890148383906,True,False,VARIABLE,4.330846246664156,False,False,0,0.0,13.905,0.0642800098818418,13.776439980236317,14.033560019763684,0.2571200395273685,2.2919998,0.031626961070316,0.4407933175657154,0.3765247774984103,0.3556616414790137,0.3909932455143798,0.4069815655530872,11,0.060900675448562,TOP_ML,,,0.0,,
J053400.20-355942.2,83.5008423,-35.9950702,15.104,12.641,7.977,6.239,0.034,0.024,0.018,0.053,32.3,45.3,61.6,20.6,2.4630003,273.05199672671057,135.0,320.0,347.3110997362451,22.87366519062672,VERY_HIGH,361,7.752419894985146,0.043309975283181,0.0446409987471527,5.111301521314204,4.158444469846601,-0.0033483627441501,0.0031875810218819,True,False,VARIABLE,5.446137795729223,False,False,0,0.0,15.104,0.043309975283181,15.017380049433635,15.19061995056636,0.1732399011327245,2.4630003,0.0601454806221459,0.4254938844186645,0.3790229784974313,0.3593114653107952,0.3879427760756304,0.3900060535941154,12,0.0612057223924369,TOP_ML,63.02870599022987,10.7518680800788,5.862116752251665,15.865786617212336,2.7064944776335644
