designation,ra,dec,has_erosita,erosita_flux,erosita_separation
J143046.35-025927.8,217.6931509,-2.9910653,False,,
J231029.40-060547.3,347.6225084,-6.0964906,False,,
J141629.02+342726.0,214.12092,34.4572244,False,,
J141230.76+340136.8,213.1281935,34.0269093,False,,
J005832.22+064701.7,14.6342573,6.7838242,False,,
J193547.43+601201.5,293.94766,60.2004281,False,,
J154303.47+575524.1,235.7644876,57.9233786,False,,
J024218.54-170912.1,40.5772863,-17.1533764,False,,
J070016.24-693931.3,105.0676841,-69.6587003,False,,
J013309.43-624709.8,23.2893311,-62.786058,False,,
J124435.69-381452.5,191.1487242,-38.2479408,False,,
J133152.18-304910.9,202.9674238,-30.819711,False,,
J025220.16-430049.3,43.0840152,-43.0137145,False,,
J060501.01-545944.5,91.254209,-54.995711,False,,
J050319.34-652057.4,75.8306049,-65.3492947,False,,
J160736.59+064143.6,241.902468,6.6954665,False,,
J091207.70+295011.9,138.0321094,29.836664,False,,
J142032.17+801007.8,215.134058,80.1688481,False,,
J183905.95-571505.1,279.7748156,-57.2514194,False,,
J104200.37-060111.5,160.5015682,-6.0198695,False,,
J100443.67+002609.8,151.1819799,0.4360578,False,,
J233049.80+220729.3,352.7075188,22.124818,False,,
J115746.32+150551.9,179.4430055,15.0977705,False,,
J151248.39+373228.3,228.201637,37.5412083,False,,
J000300.44-221910.2,0.7518643,-22.3195223,False,,
J163051.99+111410.9,247.7166507,11.2363685,False,,
J172400.49+271007.7,261.0020721,27.1688197,False,,
J013357.89-703638.5,23.4912423,-70.6106995,False,,
J071217.21-565118.6,108.0717308,-56.8551879,False,,
J005800.27-080633.8,14.5011344,-8.1094057,False,,
J152010.51-093312.1,230.043816,-9.5533639,False,,
J161059.60+522426.9,242.748349,52.407473,False,,
J213213.86-610413.7,323.05776,-61.0704869,False,,
J024127.61-334918.4,40.3650664,-33.8217929,False,,
J013401.19+143639.5,23.5049749,14.6109978,False,,
J065027.17-555224.5,102.6132428,-55.8734771,False,,
J091413.07+724437.7,138.5544629,72.7438329,False,,
J223900.22+330237.4,339.7509425,33.0437245,False,,
J021958.37-402138.1,34.9932188,-40.3605911,False,,
J155827.03+850432.3,239.612634,85.0756551,False,,
J064954.38-350303.3,102.4766032,-35.0509345,False,,
J233511.78+110741.9,353.7990993,11.12833,False,,
J055348.26-573136.0,88.4510918,-57.5266895,False,,
J081416.82-795126.3,123.5701191,-79.8573154,False,,
J222345.27-284104.4,335.9386529,-28.6845737,False,,
J110700.87-255107.4,166.7536484,-25.8520653,False,,
J183821.26+652746.7,279.5886175,65.462999,False,,
J043338.57-731619.4,68.4107443,-73.2720817,False,,
J044024.40-731441.6,70.1016701,-73.2448907,False,,
J033514.30-464330.1,53.809611,-46.725048,False,,
J141359.15+764336.8,213.4964854,76.7268956,False,,
J052409.52-224536.5,81.0396971,-22.7601541,False,,
J011130.84-260118.5,17.878536,-26.021813,False,,
J023658.58-583351.9,39.2441155,-58.5644205,False,,
J014259.41-340105.6,25.7475679,-34.0182264,False,,
J081203.49-134253.5,123.0145435,-13.7148837,False,,
J132546.84+672327.6,201.4451896,67.3910233,False,,
J224224.74-231628.6,340.6030964,-23.2746271,False,,
J023721.68-570645.3,39.3403402,-57.1125836,False,,
J105027.24-701039.5,162.6135033,-70.177643,False,,
J053400.20-355942.2,83.5008423,-35.9950702,False,,
J045820.72-424342.7,74.5863376,-42.7285452,False,,
J032813.34-454620.4,52.055589,-45.7723346,False,,
J032635.16-735621.1,51.6465212,-73.9392222,False,,
J113914.34+214121.3,174.8097894,21.6892504,False,,
J014636.47+012354.7,26.651992,1.398548,False,,
J034529.57-495446.8,56.373222,-49.9130145,False,,
J022929.28-704728.3,37.3720214,-70.7911966,False,,
J184132.20-603919.7,280.3841705,-60.6554944,False,,
J114337.02-323258.3,175.904285,-32.549528,False,,
J002657.56-234837.1,6.7398731,-23.8103328,False,,
J025824.21-001038.3,44.6008956,-0.1773165,False,,
J032729.52-105838.1,51.8730416,-10.9772743,False,,
J013943.47+281146.6,24.931166,28.1962902,False,,
J194522.53+391503.7,296.3438829,39.2510402,False,,
J231923.35+005202.6,349.8473284,0.867402,False,,
J054235.56-713535.8,85.6482028,-71.5932884,False,,
J234624.95+464749.9,356.6039815,46.7972134,False,,
J134028.09+072400.9,205.1170814,7.4002703,False,,
J070309.70-333124.8,105.7904267,-33.5235725,False,,
J054110.02-830916.6,85.2917526,-83.1546199,False,,
J234658.41-003806.5,356.743416,-0.6351508,False,,
J164031.79+575550.9,250.1324842,57.9308173,False,,
J014313.34-052339.2,25.8055986,-5.3942238,False,,
J024322.26-090306.1,40.8427524,-9.0517169,False,,
J224135.04-575201.7,340.3960271,-57.8671407,False,,
J135042.53-121943.8,207.6772112,-12.3288386,False,,
J000946.82-790943.7,2.4451014,-79.1621627,False,,
J041409.49-493137.9,63.5395802,-49.5272211,False,,
J141733.97-242151.6,214.3915782,-24.3643586,False,,
J092404.30+722921.8,141.0179402,72.4894094,False,,
J230741.12+522419.5,346.9213359,52.4054233,False,,
J174419.54+385839.2,266.0814384,38.977561,False,,
J024626.34-024715.2,41.6097542,-2.7875736,False,,
J140450.38-351222.1,211.2099247,-35.2061555,False,,
J024744.48-380453.7,41.9353518,-38.0815941,False,,
J235943.38+421431.2,359.9307595,42.2420022,False,,
J030339.16-070216.3,45.9131698,-7.0378789,False,,
J023704.79-033303.5,39.2699834,-3.550993,False,,
J022141.12-132036.6,35.4213348,-13.3435196,False,,
