designation,ra,dec,w1mpro,w2mpro,w3mpro,w4mpro,w1sigmpro,w2sigmpro,w3sigmpro,w4sigmpro,w1snr,w2snr,w3snr,w4snr,pmra,pmdec,ph_qual,w1_w2_color,w3mpro_1,w1mpro_1,snr_w1w2,w1_w2_zscore,w3_zscore,w1_zscore,anomaly_score,has_rosat,has_2mass,w1_w2_color_zscore_tier2,w3mpro_zscore_tier2,w1mpro_zscore_tier2,tier2_stealth_score,has_ps1,ps1_coverage,w1_w2_color_zscore_tier3,w3mpro_zscore_tier3,w1mpro_zscore_tier3,tier3_stealth_score,no_gaia_optical,no_rosat_xray,no_2mass_nir,no_ps1_deep_optical,spitzer_coverage,invisibility_count,final_stealth_score,pm_total,prime_score,has_nvss_radio,nvss_separation,T_eff_K,SolidAngle_scale,filename,cluster,umap_x,umap_y,vote,lamost_match,lamost_class,lamost_subclass,lamost_teff,lamost_score,lamost_category,lamost_is_known_ir,lamost_temp_mismatch,ir_teff,legacy_match,legacy_mag_g,legacy_mag_r,legacy_mag_z,legacy_type,legacy_score,legacy_is_bright,legacy_is_faint,score,gal_l,gal_b,pm_category,galactic_region,est_distance_pc,kinematic_score,kinematic_flag
J050319.34-652057.4,75.8306049,-65.3492947,13.661,12.082,9.168,7.357,0.023,0.021,0.022,0.068,46.5,52.6,48.8,15.9,167.0,-144.0,AAAA,1.5790005,9.168,13.661,2445.9,2.3699193,1.6516539,0.73209834,10.319337,0,0,-0.3291384,-1.4684882,-1.5542157,2.3897142,0,0,-0.6931789,-1.5191076,-1.9978565,0.56951165,1,1,1,1,0,4,20.63867378234864,220.51077071199947,27.15636902668172,0,999.9,266.9078389111745,2.6890353607019058e-17,,,,,,False,,,,0.0,NO_SPECTRUM,False,False,2460.499763488769,False,99.0,99.0,99.0,,0.0,False,False,111.5,275.7169068377607,-35.67008467352079,high,halo,47.83677084203778,-10.0,HIGH_PM|HALO
J183821.26+652746.7,279.5886175,65.462999,13.905,11.613,7.516,5.871,0.023,0.02,0.015,0.029,46.4,54.6,74.0,37.3,336.0,-227.0,AAAA,2.2919998,7.516,13.905,2533.44,3.8478198,3.2492366,0.5859105,17.003223,0,0,1.9898441,-3.8240244,-1.3502824,17.033604,0,1,1.6791743,-3.7820203,-1.7732562,15.480255,1,1,1,1,0,4,34.006446838378906,405.493526458808,49.59500070883392,0,999.9,288.52525758474764,8.654401446545824e-17,,,,,,False,,,,0.0,NO_SPECTRUM,False,False,2104.0000915527344,False,99.0,99.0,99.0,,0.0,False,False,111.4,95.50142622418821,25.842137038550376,high,thick_disk,26.014036028815926,-15.0,HIGH_PM
J071217.21-565118.6,108.0717308,-56.8551879,13.351,11.808,8.81,7.005,0.023,0.021,0.021,0.068,46.3,52.6,52.1,16.1,283.0,93.0,AAAA,1.5430002,8.81,13.351,2435.38,2.2952983,1.997861,0.91782933,10.800516,0,0,-0.4462268,-1.9789491,-1.813312,2.6824174,0,0,-0.81296206,-2.0094962,-2.2832105,0.8487411,1,1,1,1,0,4,21.60103225708008,297.88924116187883,28.267111675656285,0,999.9,267.4258655033317,3.701382436091166e-17,,,,,,False,,,,0.0,NO_SPECTRUM,False,False,2478.4998893737798,False,99.0,99.0,99.0,,0.0,False,False,111.3,267.5900190337767,-19.729818695905266,high,thick_disk,35.41089018726521,-15.0,HIGH_PM
J013309.43-624709.8,23.2893311,-62.786058,13.584,12.034,8.956,7.329,0.024,0.022,0.029,0.09,46.0,49.9,37.9,12.0,116.0,-127.0,AAAA,1.5499992,8.956,13.584,2295.4,2.3098059,1.8566705,0.7782318,10.492655,0,0,-0.42346296,-1.7707723,-1.6185724,2.374258,0,0,-0.78967434,-1.8095055,-2.0687351,0.54320115,1,1,1,1,0,4,20.98530960083008,172.00290695217916,27.490752219437876,0,999.9,300.3012086579778,2.0051806508148136e-17,,,,,,False,,,,0.0,NO_SPECTRUM,False,False,2475.0003814697266,False,99.0,99.0,99.0,,0.0,False,False,111.0,294.8958192586497,-53.68644529767089,moderate,halo,61.32758680458692,5.0,HALO
J193547.43+601201.5,293.94766,60.2004281,13.57,12.042,9.066,7.137,0.024,0.021,0.023,0.06,46.0,52.1,46.2,18.2,170.0,-255.0,AAAA,1.5279999,9.066,13.57,2396.6,2.2642057,1.7502942,0.7866196,10.204678,0,0,-0.4950144,-1.6139272,-1.6302733,1.8121362,0,1,-0.86287254,-1.6588277,-2.0816221,-0.027154505,1,1,1,1,0,4,20.40935516357422,306.4718584144391,26.646453693375395,0,999.9,250.5057090423649,3.940750132277341e-17,,,,,,False,,,,0.0,NO_SPECTRUM,False,False,2486.000061035156,False,99.0,99.0,99.0,,0.0,False,False,111.0,92.06332446070319,18.09700069010657,high,thick_disk,34.41922289806583,-15.0,HIGH_PM
J160736.59+064143.6,241.902468,6.6954665,13.665,11.833,8.668,6.839,0.024,0.022,0.027,0.081,45.0,48.3,40.8,13.4,-148.0,-215.0,AAAA,1.8319998,8.668,13.665,2173.5,2.8943348,2.1351838,0.72970194,12.615482,0,0,0.49372485,-2.1814227,-1.5508728,7.4686937,0,1,0.14862232,-2.2040083,-1.9941748,5.743181,1,1,1,1,0,4,25.23096466064453,261.01532522057016,34.4755891030661,0,999.9,263.23135520576494,4.512101997233191e-17,,,,,,False,,,,0.0,NO_SPECTRUM,False,False,2334.0001106262207,False,99.0,99.0,99.0,,0.0,False,False,110.0,18.49541294844537,39.2396926950967,high,halo,40.4134247590139,-10.0,HIGH_PM|HALO
J091207.70+295011.9,138.0321094,29.836664,12.375,10.645,7.868,6.262,0.024,0.021,0.021,0.058,44.9,52.8,52.1,18.8,220.0,246.0,AAAA,1.7299995,7.868,12.375,2370.72,2.6829093,2.9088316,1.5025817,13.914557,0,0,0.16197594,-3.322118,-2.6290467,8.130125,0,1,-0.19076172,-3.29985,-3.1816134,6.366436,1,1,1,1,0,4,27.82911491394043,330.0242415338607,37.45798589125233,0,999.9,315.31711659645754,4.63996637467337e-17,,,,,,False,,,,0.0,NO_SPECTRUM,False,False,2385.000228881836,False,99.0,99.0,99.0,,0.0,False,False,109.9,196.06782540636763,42.18910989451765,high,halo,31.962873871702453,-10.0,HIGH_PM|HALO
J142032.17+801007.8,215.134058,80.1688481,13.824,12.132,8.763,7.017,0.024,0.022,0.021,0.066,44.7,50.2,51.4,16.5,292.0,-157.0,AAAA,1.6920004,8.763,13.824,2243.94,2.6041448,2.0433137,0.6344398,11.511845,0,0,0.038386237,-2.0459661,-1.4179813,4.9129987,0,1,-0.3171958,-2.0738783,-1.8478156,3.1350884,1,1,1,1,0,4,23.02368927001953,331.53129565698623,30.81490756088928,0,999.9,274.9169860124502,3.4040235528635225e-17,,,,,,False,,,,0.0,NO_SPECTRUM,False,False,2403.9998054504395,False,99.0,99.0,99.0,,0.0,False,False,109.7,118.33462152408701,36.15057425367026,high,halo,31.817579048901983,-10.0,HIGH_PM|HALO
J183905.95-571505.1,279.7748156,-57.2514194,13.046,11.209,7.74,5.848,0.024,0.021,0.018,0.045,44.6,51.4,59.4,24.0,-26.0,-197.0,AAAA,1.8369999,7.74,13.046,2292.44,2.9046988,3.0326154,1.1005647,14.3635845,0,0,0.50998735,-3.5046299,-2.0682294,9.715733,0,0,0.16525912,-3.475185,-2.5639617,7.992091,1,1,1,1,0,4,28.727169036865234,198.70832896484237,39.28153036646614,0,999.9,254.1682303321605,1.241648564985457e-16,,,,,,False,,,,0.0,NO_SPECTRUM,False,False,2331.5000534057617,False,99.0,99.0,99.0,,0.0,False,False,109.6,338.27124210499034,-20.95282166145832,moderate,thick_disk,53.08546079423482,0.0,NORMAL
J054235.56-713535.8,85.6482028,-71.5932884,13.004,9.864,5.735,4.275,0.025,0.02,0.012,0.017,44.3,55.3,87.9,62.6,420.0,334.0,AAAA,3.1399994,5.735,13.004,2449.7899999999995,5.605548,4.9715695,1.1257281,25.399727,0,0,4.7479057,-6.3634963,-2.1033325,34.808395,0,0,4.500712,-6.221637,-2.6026223,33.572426,1,1,1,1,0,4,50.79945373535156,536.6153184544772,82.70150458521789,0,999.9,324.14534597832017,2.815994094704694e-16,,,,,,False,,,,0.0,NO_SPECTRUM,False,False,1244.000244140625,False,99.0,99.0,99.0,,0.0,False,False,109.3,282.31788523510915,-31.05152803550457,very_high,halo,19.65751413346192,-25.0,HIGH_PM|HALO
