n_epochs,baseline_years,rms_w1,rms_w2,chi2_w1,chi2_w2,stetson_j,trend_w1,trend_w2,trend_p_w1,trend_p_w2,is_variable,is_stable,trend_type,variability_score,variability_flag,designation
290,9.999034288323061,0.07816917,,2.785391520463884,3.82564459906684,5.040881886201746,-0.0029772412120486493,0.0019504860130383187,0.048974878929278216,0.16668820457765568,False,False,none,0.0,NORMAL,J000300.44-221910.2
500,9.498578409472957,0.05548461,0.049250208,2.0394597789328657,2.1121004215462174,6.303373815418146,0.0011203268030719222,0.0054463503381272475,0.2287712836826915,1.611295798306211e-11,False,False,none,0.0,NORMAL,J000946.82-790943.7
293,10.505541605913761,0.23587066,0.15244055,2.155096689860026,1.7723824936909365,2.866621385607935,0.0032167169457818466,-3.469309219249044e-05,0.4631996088869791,0.9902369801525392,True,False,none,-10.0,VARIABLE,J002657.56-234837.1
291,10.513531090540729,,,2.285017706531142,1.7912635671226211,5.5201716703527115,-0.009935492876711843,0.00013034069074302566,1.566283012884707e-10,0.9130345743934853,False,False,none,0.0,NORMAL,J005800.27-080633.8
279,10.51411815285421,,,4.249870410863904,4.845232911918998,10.460768485777164,0.0006240895889293017,-0.001193564147257205,0.8652339076263269,0.7616516877240259,False,False,none,0.0,NORMAL,J005832.22+064701.7
334,10.512862444188913,0.2511007,0.21660052,25.920414581759818,2.666647366526624,1.1056275862974678,0.013831580163007116,0.008956759961838624,0.0015758631016522448,0.018047221479899483,True,False,none,-10.0,VARIABLE,J011130.84-260118.5
500,9.442001606324439,,0.14201266,9.027045682730924,10.832399173346694,25.380605383204088,0.0030211381118277563,0.004027905349578339,0.1813238799811585,0.07957906593651093,True,False,none,-10.0,VARIABLE,J013309.43-624709.8
500,8.991469902642024,0.09804519,,2.298051180485972,2.220815635589232,8.39390687414461,0.014247428538347295,0.011521862002366379,8.003825374710175e-19,1.2763793447691546e-23,False,False,none,0.0,NORMAL,J013357.89-703638.5
265,10.508128937412728,0.09064105,0.064818874,1.5208354140772964,1.6131129409327651,3.7683719103859676,0.006106950311848758,0.005266178222448662,0.0004965787476166702,2.4199366409804343e-05,False,False,none,0.0,NORMAL,J013401.19+143639.5
281,10.517039602792611,0.10633697,0.08311897,1.9949268886021205,1.8114656720842635,2.2488508100265805,0.004660422331838001,0.00678495924804079,0.021311183705840345,1.4220273990167378e-05,False,False,none,0.0,NORMAL,J013943.47+281146.6
330,10.51335260312114,0.21645637,0.20633325,2.2166160093534977,2.9949234753120235,5.520420170326845,0.0054139954607241286,0.009668545112103508,0.13717118137734208,0.005163490438729431,True,False,none,-10.0,VARIABLE,J014259.41-340105.6
290,10.515801026885704,0.085455924,0.081300415,4.959098419928633,4.275165069474481,12.83855095864029,0.005100461831354376,0.005104055370699803,0.0010402961980482124,0.0005545368109672814,False,False,none,0.0,NORMAL,J014313.34-052339.2
286,10.523086002737854,0.08336366,0.10991244,2.6239591899671053,2.314853077203455,8.655124029817088,0.013580797686578706,0.012818201334223032,1.7964185903874116e-20,1.6710602906846412e-10,False,False,none,0.0,NORMAL,J014636.47+012354.7
392,10.515125370157413,0.32250252,0.24768569,51.60999919458763,30.254927884615384,-1.0371095034792204,0.0028948749029672925,0.008783709833064271,0.5768291748783476,0.027029474981053712,True,False,none,-10.0,VARIABLE,J021958.37-402138.1
302,10.528848128843256,0.23410562,,8.35589987458194,3.3671366373697915,-0.2896886388413361,0.012494134968045916,0.006009293778064567,0.003474803995188222,0.055487602937508075,True,False,none,-10.0,VARIABLE,J022141.12-132036.6
