designation,ra,dec,w1mpro,w2mpro,w3mpro,w4mpro,w1sigmpro,w2sigmpro,w3sigmpro,w4sigmpro,w1snr,w2snr,w3snr,w4snr,pmra,pmdec,ph_qual,w1_w2_color,w3mpro_1,w1mpro_1,snr_w1w2,w1_w2_zscore,w3_zscore,w1_zscore,anomaly_score,has_rosat,has_2mass,w1_w2_color_zscore_tier2,w3mpro_zscore_tier2,w1mpro_zscore_tier2,tier2_stealth_score,has_ps1,ps1_coverage,w1_w2_color_zscore_tier3,w3mpro_zscore_tier3,w1mpro_zscore_tier3,tier3_stealth_score,no_gaia_optical,no_rosat_xray,no_2mass_nir,no_ps1_deep_optical,spitzer_coverage,invisibility_count,final_stealth_score,pm_total,prime_score,has_nvss_radio,nvss_separation,gal_l,gal_b,w34_yso_flag
J043338.57-731619.4,68.4107443,-73.2720817,14.103,10.432,5.502,3.798,0.025,0.021,0.015,0.021,43.8,52.9,73.8,52.7,296.0,69.0,AAAA,3.6709995,5.502,14.103,2317.02,6.7062016,5.1968946,0.46728247,28.38123,0,0,6.474948,-6.6957245,-1.1847954,43.235813,0,0,6.267502,-6.5408006,-1.5909982,42.19858,1,1,1,1,0,4,56.76245880126953,303.9358484943821,98.43745037691575,0,999.9,285.96780764210513,-35.56251567450441,True
J143046.35-025927.8,217.6931509,-2.9910653,13.997,10.629,6.104,4.495,0.026,0.02,0.015,0.024,42.0,55.2,71.9,44.4,-5.0,55.0,AAAA,3.368,6.104,13.997,2318.4,6.078146,4.6147246,0.5307904,25.687315,0,0,5.4894624,-5.837351,-1.2733895,37.207554,0,1,5.2593355,-5.71618,-1.6885706,36.05692,1,1,1,1,0,4,51.374629974365234,55.226805085936306,85.98058072509765,0,999.9,345.3083854598977,51.51746893472904,True
J012624.40+674431.0,21.6016915,67.741946,15.541,11.81,8.16,4.225,0.047,0.023,0.022,0.025,23.1,47.9,49.7,44.3,89.0,711.0,AAAA,3.731,8.16,15.541,1106.49,6.83057,2.6264503,-0.39426914,24.037115,0,0,6.670095,-2.9057646,0.017076535,38.209106,0,1,6.46714,-2.899868,-0.26732543,37.194332,1,1,1,1,0,4,48.0742301940918,716.5486724570774,83.94722076492309,0,999.9,126.24538983698352,5.095446916183545,True
J054235.56-713535.8,85.6482028,-71.5932884,13.004,9.864,5.735,4.275,0.025,0.02,0.012,0.017,44.3,55.3,87.9,62.6,420.0,334.0,AAAA,3.1399994,5.735,13.004,2449.7899999999995,5.605548,4.9715695,1.1257281,25.399727,0,0,4.7479057,-6.3634963,-2.1033325,34.808395,0,0,4.500712,-6.221637,-2.6026223,33.572426,1,1,1,1,0,4,50.79945373535156,536.6153184544772,82.70150458521789,0,999.9,282.3178898827024,-31.05152963620157,True
J060201.67-090301.4,90.506992,-9.0503985,11.534,8.457,5.96,2.584,0.023,0.021,0.015,0.021,46.7,52.8,73.2,51.5,249.0,447.0,AAAA,3.0770006,5.96,11.534,2465.76,5.4749646,4.753981,2.0064511,25.562317,0,0,4.5430064,-6.042676,-3.3319488,34.229446,0,1,4.291097,-5.913431,-3.9557498,32.9699,1,1,1,1,0,4,51.1246337890625,511.67372416413957,82.5867395578076,0,999.9,215.52360650717554,-15.055133248317427,True
J173948.22-194537.8,264.9509254,-19.7605133,13.655,10.204,7.79,4.521,0.058,0.022,0.022,0.024,18.7,50.0,50.0,44.9,-398.0,-438.0,AAAA,3.4509993,7.79,13.655,935.0,6.2501864,2.9842622,0.7356934,23.962645,0,0,5.759412,-3.433336,-1.5592309,35.501278,0,1,5.5354977,-3.4066947,-2.00338,34.381706,1,1,1,1,0,4,47.925289154052734,591.8175394494489,81.00331701863945,0,999.9,7.134823402008246,5.934501716478476,True
J033320.33+310721.3,53.3347324,31.1226095,13.551,10.191,8.212,4.348,0.027,0.02,0.026,0.025,40.9,53.6,41.7,44.1,22.0,621.0,AAAA,3.3599997,8.212,13.551,2192.24,6.061563,2.576163,0.79800314,22.846935,0,0,5.463442,-2.8316195,-1.6461536,33.26754,0,1,5.232716,-2.8286383,-2.0991116,32.11391,1,1,1,1,0,4,45.6938705444336,621.3895718468407,76.40014880866075,0,999.9,159.21505048460898,-20.11291906538773,True
J040124.53+410149.1,60.3522494,41.0303216,14.836,11.185,9.71,3.594,0.034,0.021,0.051,0.021,31.6,52.3,21.4,51.3,-11.0,947.0,AAAA,3.651,9.71,14.836,1652.68,6.6647468,1.1275078,0.028118577,21.71362,0,0,6.4099007,-0.69566756,-0.572158,34.332638,0,1,6.200958,-0.7766754,-0.9162745,33.28792,1,1,1,1,0,4,43.42723846435547,947.0638838008764,75.13780799102783,0,999.9,157.18509870186713,-8.876280964830956,True
J222152.29+633237.7,335.4679137,63.5438061,13.536,10.728,6.035,2.877,0.039,0.022,0.018,0.021,28.2,49.6,60.1,52.6,126.0,-246.0,AAAA,2.8080006,6.035,13.536,1398.72,4.9173827,4.681452,0.8069898,22.581316,0,0,3.6681018,-5.935736,-1.6586899,28.510403,0,1,3.3960567,-5.8106966,-2.1129184,27.150177,1,1,1,1,0,4,45.16263198852539,276.39102735074454,70.52597153279709,0,999.9,107.16498933735177,5.34823726274108,True
J205129.83+601838.4,312.874295,60.3106748,15.152,11.866,8.334,3.862,0.032,0.021,0.021,0.025,33.5,50.5,50.9,43.3,120.0,-436.0,AAAA,3.2860003,8.334,15.152,1691.75,5.9081774,2.458182,-0.161207,21.250599,0,0,5.2227635,-2.6576638,-0.30804715,30.868975,0,1,4.986499,-2.6615229,-0.62539804,29.687653,1,1,1,1,0,4,42.501197814941406,452.21233950435277,70.43298756899277,0,999.9,97.10548851480526,10.114807032518554,True
