rank,designation,ra_value,dec_value,w1mpro_value,w2mpro_value,w1_w2_color,pm_total,ml_ensemble_score,if_score
1,J043338.57-731619.4,68.4107443,-73.2720817,14.103,10.432,3.6709999999999994,303.9358484943821,0.999999975063173,0.2878312171735587
2,J054235.56-713535.8,85.6482028,-71.5932884,13.004,9.864,3.139999999999999,536.6153184544772,0.9966182184352991,0.2864750876971713
3,J143046.35-025927.8,217.6931509,-2.9910653,13.997,10.629,3.3680000000000003,55.226805085936306,0.9847208673116212,0.28170409134079116
4,J044024.40-731441.6,70.1016701,-73.2448907,10.787,8.605,2.1820000000000004,165.46903033498444,0.9518878795871936,0.2685376256986564
5,J052409.52-224536.5,81.0396971,-22.7601541,15.431,13.017,2.4139999999999997,138.2931668593933,0.9070464074690936,0.2505555977778026
6,J133152.18-304910.9,202.9674238,-30.819711,13.685,11.369,2.3160000000000007,83.16850365372699,0.9062022940983822,0.25021709706666356
7,J033514.30-464330.1,53.809611,-46.725048,16.483,13.985,2.498000000000001,138.00362314084367,0.9015084964451754,0.2483348216535704
8,J174419.54+385839.2,266.0814384,38.977561,16.091,13.859,2.232000000000001,220.75552088226468,0.8813849819483879,0.2402650241546414
9,J030339.16-070216.3,45.9131698,-7.0378789,13.77,11.737,2.0329999999999995,55.0,0.8813465023988515,0.24024959334246104
10,J021958.37-402138.1,34.9932188,-40.3605911,15.384,13.461,1.923,82.365041127896,0.8798717235229867,0.2396581873588876
11,J011130.84-260118.5,17.878536,-26.021813,14.631,12.654,1.9770000000000003,487.24634426540337,0.8798315753344581,0.23964208740023346
12,J053400.20-355942.2,83.5008423,-35.9950702,15.104,12.641,2.462999999999999,347.3110997362451,0.8755558367344537,0.23792745923893993
13,J002657.56-234837.1,6.7398731,-23.8103328,15.468,13.053,2.414999999999999,366.2157833846051,0.864314706684481,0.23341961627856206
14,J183821.26+652746.7,279.5886175,65.462999,13.905,11.613,2.292,405.493526458808,0.8632361775477532,0.23298711172119574
15,J024127.61-334918.4,40.3650664,-33.8217929,15.171,12.93,2.2409999999999997,165.89454481688057,0.8628314821291246,0.2328248234649571
16,J155827.03+850432.3,239.612634,85.0756551,15.965,13.846,2.1189999999999998,138.52075656738234,0.8593400868658208,0.23142472743461012
17,J230741.12+522419.5,346.9213359,52.4054233,15.181,13.209,1.9719999999999995,359.0891254271006,0.855595847801455,0.22992323767039252
18,J023721.68-570645.3,39.3403402,-57.1125836,15.445,13.769,1.6760000000000002,248.8714527622644,0.8555557523022023,0.22990715884084018
19,J045820.72-424342.7,74.5863376,-42.7285452,15.487,13.113,2.3740000000000006,275.1908428709066,0.8523314569326031,0.22861417342750429
20,J161059.60+522426.9,242.748349,52.407473,15.543,13.433,2.1099999999999994,138.00362314084367,0.8518858916665824,0.2284354958177896
21,J022141.12-132036.6,35.4213348,-13.3435196,15.094,13.223,1.8709999999999987,27.294688127912362,0.8483071796608251,0.22700038461005018
22,J054110.02-830916.6,85.2917526,-83.1546199,15.991,13.756,2.2349999999999994,304.06742673295344,0.8453370951921241,0.22580934115583856
23,J140450.38-351222.1,211.2099247,-35.2061555,14.173,12.613,1.5600000000000005,27.85677655436824,0.8420284854210752,0.2244825445438648
24,J141359.15+764336.8,213.4964854,76.7268956,15.207,12.844,2.3630000000000013,298.6000669792289,0.8389467976103833,0.22324674666217909
25,J013309.43-624709.8,23.2893311,-62.786058,13.584,12.034,1.549999999999999,172.00290695217916,0.8374650493192769,0.2226525458502125
26,J234624.95+464749.9,356.6039815,46.7972134,13.898,12.259,1.6389999999999993,27.65863337187866,0.837099228622302,0.22250584687543967
27,J014259.41-340105.6,25.7475679,-34.0182264,14.853,12.745,2.1080000000000005,414.4514446832101,0.8346599934775067,0.2215276810747337
28,J024744.48-380453.7,41.9353518,-38.0815941,13.354,11.747,1.6069999999999993,83.3606621854697,0.8336876476445436,0.22113775743727998
29,J032635.16-735621.1,51.6465212,-73.9392222,15.99,13.721,2.269,475.2315225234959,0.8324658518430668,0.220647801038037
30,J005832.22+064701.7,14.6342573,6.7838242,13.854,12.041,1.8129999999999988,192.81597444195333,0.830790885902697,0.21997611737370765
31,J231923.35+005202.6,349.8473284,0.867402,15.428,13.418,2.0100000000000016,382.2512262897269,0.8296155217172757,0.21950478067129625
32,J141230.76+340136.8,213.1281935,34.0269093,13.868,12.086,1.782,55.31726674375732,0.8289889400862465,0.21925351308681135
33,J183905.95-571505.1,279.7748156,-57.2514194,13.046,11.209,1.8369999999999997,198.70832896484234,0.826656120476861,0.21831802133400263
34,J235943.38+421431.2,359.9307595,42.2420022,14.242,12.396,1.846,27.294688127912362,0.826457205657287,0.21823825384041923
35,J193547.43+601201.5,293.94766,60.2004281,13.57,12.042,1.5280000000000005,306.4718584144391,0.8173243116553257,0.214575841631718
36,J194522.53+391503.7,296.3438829,39.2510402,14.442,12.37,2.072000000000001,370.30257898102735,0.8165942549857386,0.2142830791777614
37,J055348.26-573136.0,88.4510918,-57.5266895,13.95,11.13,2.8199999999999985,376.3243282064023,0.8155605471356789,0.21386854855368148
38,J151248.39+373228.3,228.201637,37.5412083,14.881,12.992,1.8889999999999993,55.54277630799526,0.8147709933801635,0.21355192697535103
39,J024626.34-024715.2,41.6097542,-2.7875736,12.402,9.989,2.4129999999999985,83.24061508662703,0.8065334359264227,0.21024855665462033
40,J091413.07+724437.7,138.5544629,72.7438329,15.168,12.925,2.2429999999999986,193.1657319505714,0.8060022171467539,0.21003553084443
41,J024218.54-170912.1,40.5772863,-17.1533764,14.451,12.609,1.8420000000000005,27.313000567495326,0.7975342337941893,0.20663975666738915
42,J060501.01-545944.5,91.254209,-54.995711,15.177,13.174,2.003,358.7199464763564,0.7967645001168087,0.20633108320453258
43,J222345.27-284104.4,335.9386529,-28.6845737,13.822,11.883,1.939,220.61731573020282,0.7960345411668832,0.2060383599374626
44,J081203.49-134253.5,123.0145435,-13.7148837,14.101,12.322,1.7790000000000017,358.83422356291493,0.7956759516267123,0.20589456075293772
45,J224224.74-231628.6,340.6030964,-23.2746271,14.668,12.388,2.2799999999999994,247.87295132789296,0.7921422409998462,0.20447749569786616
46,J231029.40-060547.3,347.6225084,-6.0964906,13.988,12.24,1.7479999999999993,165.42369842317032,0.7919311633232139,0.2043928507365082
47,J041409.49-493137.9,63.5395802,-49.5272211,13.991,12.466,1.5250000000000004,0.0,0.7912015178336792,0.20410025317123243
48,J114337.02-323258.3,175.904285,-32.549528,15.059,12.803,2.2559999999999985,351.7413822682796,0.7910683500605475,0.20404685111948212
49,J141733.97-242151.6,214.3915782,-24.3643586,13.625,11.93,1.6950000000000003,27.586228448267445,0.7901111680106377,0.20366300836112022
50,J132546.84+672327.6,201.4451896,67.3910233,15.191,13.022,2.1690000000000005,435.7843503385591,0.7891977001770865,0.2032966955860967
51,J113914.34+214121.3,174.8097894,21.6892504,14.735,12.743,1.991999999999999,393.3954753171419,0.7866803874545498,0.20228721963617796
52,J070309.70-333124.8,105.7904267,-33.5235725,13.88,11.932,1.9480000000000004,562.0756176885811,0.781100189620758,0.2000494859376309
53,J105027.24-701039.5,162.6135033,-70.177643,15.344,13.068,2.276,110.0,0.7729183117249869,0.19676844386168652
54,J040124.53+410149.1,60.3522494,41.0303216,14.836,11.185,3.651,947.0638838008764,0.7707834606799556,0.19591234014150732
55,J223900.22+330237.4,339.7509425,33.0437245,13.854,12.119,1.7349999999999994,304.19894805866767,0.76894003654833,0.19517310249744507
56,J064954.38-350303.3,102.4766032,-35.0509345,14.236,12.441,1.795,376.87663764154973,0.7660847370599055,0.19402808935006172
57,J050319.34-652057.4,75.8306049,-65.3492947,13.661,12.082,1.5789999999999988,220.51077071199947,0.765034283187731,0.19360684334793982
58,J160736.59+064143.6,241.902468,6.6954665,13.665,11.833,1.831999999999999,261.01532522057016,0.7622274593617797,0.1924812695872425
59,J025220.16-430049.3,43.0840152,-43.0137145,13.886,12.079,1.8069999999999986,109.98636279102969,0.7595098584112263,0.19139147538865137
60,J124435.69-381452.5,191.1487242,-38.2479408,14.375,12.676,1.6989999999999998,55.226805085936306,0.7592555876447339,0.19128950942262596
61,J154303.47+575524.1,235.7644876,57.9233786,14.691,12.664,2.027000000000001,83.21658488546619,0.7577134575475731,0.19067109470172433
62,J110700.87-255107.4,166.7536484,-25.8520653,13.81,12.046,1.7640000000000011,328.6883021952561,0.7562614340969877,0.19008881394694904
