designation,rf_prob,rf_pred,nn_prob,nn_pred,iso_score,iso_pred,iso_prob,cluster,distance_to_center,composite_score,weighted_score,rank,ra,dec,w1mpro,w2mpro,w1_w2_color
J044024.40-731441.6,0.48892011534217406,0,0.0585038439666406,0,0.003161241270077886,1,0.727054312233988,3,149.39262742339542,0.42482609051426756,0.4339823797753971,1.0,70.1016701,-73.2448907,10.787,8.605,2.1820002
J133152.18-304910.9,0.6587769648308346,1,0.0628977315996628,0,0.12063838361954304,1,0.387742408876642,3,57.435140006940806,0.36980570176904654,0.41108731077787336,2.0,,,,,
J043338.57-731619.4,0.4031255293983625,0,0.02592593733923496,0,-0.017019274120314787,-1,0.785342154029431,0,92.77490286879777,0.4047978735890095,0.4045589672760599,3.0,68.4107443,-73.2720817,14.103,10.432,3.6709995
J014636.47+012354.7,0.6911191495552947,1,0.12767152620301114,0,0.17809358979856288,1,0.22179322951715003,3,91.27459781852758,0.34686130175848534,0.39604099430088663,4.0,,,,,
J143046.35-025927.8,0.42096195830313504,0,0.10174009609493581,0,0.039262135746741755,1,0.6227832772666884,3,83.41527318067325,0.38182844388825304,0.38741894594752196,5.0,217.6931509,-2.9910653,13.997,10.629,3.368
J013309.43-624709.8,0.6178277495466351,1,0.023032248320694244,0,0.12612993793015048,1,0.37188102760487557,3,219.8116692351141,0.3375803418240683,0.377615685784435,6.0,,,,,
J141230.76+340136.8,0.6410835161398631,1,0.05233692695596607,0,0.15289462844953494,1,0.2945759629661118,3,49.378469549474225,0.32933213535398037,0.3738680468948207,7.0,,,,,
J032813.34-454620.4,0.6809834594112458,1,0.10853766754574994,0,0.19653974397070945,1,0.16851478269253167,3,128.37802460525546,0.31934530321650917,0.3710078969586144,8.0,,,,,
J143357.08-604737.8,0.23538156435068208,0,0.008439540832120312,0,-0.06020381105293304,-1,0.9100730346855437,3,202.16175097123042,0.38463137995611535,0.3633099777267677,9.0,218.4878438,-60.7938582,7.703,5.531,2.172
J141629.02+342726.0,0.6509175918680562,1,0.12279412213948726,0,0.19683950183232296,1,0.16764898524005498,3,90.0054150420671,0.3137868997491995,0.36194842719475046,10.0,,,,,
J022929.28-704728.3,0.570275155657896,1,0.0002775786792040443,0,0.12846172882382279,1,0.3651460629084273,6,299.4676875886411,0.31189959908184245,0.3488103928784215,11.0,,,,,
J050319.34-652057.4,0.5607788983977837,1,0.017312860995728433,0,0.1314780854866615,1,0.35643385132408517,0,194.04638950660734,0.31150853690586583,0.3471185885475684,12.0,,,,,
J025220.16-430049.3,0.6643284541825564,1,0.03712155202045414,0,0.19248044469368536,1,0.1802393491608478,3,149.27495969309578,0.29389645178795276,0.34681530927289617,13.0,,,,,
J233049.80+220729.3,0.6199600834408112,1,0.011356988480952419,0,0.16407994969562745,1,0.26226914509693944,2,160.4322866684713,0.2978620723395677,0.34387607392545966,14.0,,,,,
J152010.51-093312.1,0.635684225320603,1,0.008694263685068935,0,0.17521647275817032,1,0.23010327213168166,1,134.81882020426255,0.29149392037911787,0.3406639639421872,15.0,,,,,
J222345.27-284104.4,0.6256766834644543,1,0.013155487288870588,0,0.17188280752170015,1,0.23973197328937593,1,127.86192898691829,0.29285471468090024,0.340400710221408,16.0,,,,,
J223900.22+330237.4,0.6069015728767276,1,0.00660980650518954,0,0.16286065726712012,1,0.265790855162335,2,84.22996392055359,0.29310074484808407,0.33792943456646174,17.0,,,,,
J032729.52-105838.1,0.5785628489845206,1,0.13570697442145713,0,0.19345268056122217,1,0.1774312181821009,3,110.82717676028678,0.29723368052935956,0.3374235617372397,18.0,,,,,
J024626.34-024715.2,0.4123055053821309,0,0.02524842001816795,0,0.0726567147335242,1,0.5263289549091105,3,126.26185661301378,0.32129429343646976,0.33429589514299274,19.0,41.6097542,-2.7875736,12.402,9.989,2.413
J193547.43+601201.5,0.5079504758399493,1,0.010007318056724996,0,0.11797256887073482,1,0.39544214227435626,2,178.56628417049149,0.3044666453903435,0.3335357640260015,20.0,,,,,
J234624.95+464749.9,0.5758723931469285,1,0.1376805738844861,0,0.19768799628818146,1,0.16519825939630692,3,106.93302959150297,0.2929170754759072,0.33333926371462447,21.0,,,,,
J164848.01-450146.9,0.10992030012471198,0,2.0868939330415077e-05,0,-0.09133847741969459,-1,1.0,5,267.18061794282886,0.3699803896880141,0.33282894832182813,22.0,252.2000753,-45.0296997,12.096,8.283,3.8129997
J000946.82-790943.7,0.5641910187078143,1,0.0664824401241409,0,0.17086091330844838,1,0.24268353359799194,3,120.25225064344201,0.29111899747664904,0.3301292862239584,23.0,,,,,
J054235.56-713535.8,0.39499373420696965,0,0.00018466489722815974,0,0.06442305262610026,1,0.5501104285251478,8,168.23959593374053,0.31509627587644856,0.3265101984950944,24.0,85.6482028,-71.5932884,13.004,9.864,3.1399994
J005832.22+064701.7,0.6470629696412976,1,0.016411361132651445,0,0.2058704498480084,1,0.1415646925935083,1,162.65598372139772,0.2683463411224858,0.32244871662517316,25.0,,,,,
J024322.26-090306.1,0.5658740856408814,1,0.05901191751213908,0,0.1818663411982876,1,0.21089630580303217,3,164.5774890159481,0.27859410298535087,0.3196341005075695,26.0,,,,,
J141733.97-242151.6,0.5140179759954527,1,0.132819295009369,0,0.18156139570298913,1,0.21177708681592208,3,135.62818172884127,0.28620478594024795,0.31874952737670575,27.0,,,,,
J014313.34-052339.2,0.4980853985110177,0,0.016602778591782632,0,0.13462949637838595,1,0.34733155953738887,1,132.55659208587122,0.2873399122133964,0.3174464102559137,28.0,,,,,
J071217.21-565118.6,0.4777753432498014,0,0.010620023174758377,0,0.1232941876623459,1,0.38007158962886967,0,116.640675800475,0.28948898535114315,0.3163870364795229,29.0,,,,,
J203552.30+395036.6,0.1926248121159886,0,0.019881270726415486,0,-0.017329086761034507,-1,0.7862369929291895,1,127.7066275445662,0.3329143585905312,0.3128729948084537,30.0,,,,,
J135042.53-121943.8,0.49782526599647375,0,0.05237944202675031,0,0.1533404294981166,1,0.29328834565360545,3,50.61702650679061,0.28116435122560984,0.3121159104785904,31.0,,,,,
J235943.38+421431.2,0.597149382789553,1,0.1013198225619693,0,0.22316902297400032,1,0.09160083021689441,3,84.06784151993232,0.2633566785228056,0.3110413505609123,32.0,,,,,
J115746.32+150551.9,0.5533743713458882,1,0.008576215360118834,0,0.16838320846473637,1,0.24983994487650876,7,146.40318929608068,0.2705968438608386,0.31099363350156,33.0,,,,,
J013943.47+281146.6,0.5663495751668352,1,0.11299500506853445,0,0.21456738225639294,1,0.11644514482581797,3,103.20830090893791,0.26526324168706256,0.3082755750413157,34.0,,,,,
J124032.96-623553.7,0.11592097167538354,0,6.360550881686556e-08,0,-0.058445043647366024,-1,0.9049931467685346,5,293.90530153490766,0.340304727349809,0.3082499051106054,35.0,190.1373363,-62.5982556,13.345,9.148,4.1970005
J024744.48-380453.7,0.5163868523805054,1,0.034454663044941776,0,0.1632162083687047,1,0.26476390882531414,3,176.52959624374702,0.2718684747502538,0.30679967155457544,36.0,,,,,
J091207.70+295011.9,0.4031006471770406,0,0.0026708114379085,0,0.09478062262013143,1,0.46242796834632766,7,79.72174788841214,0.2893998089870922,0.30564278587137056,37.0,,,,,
J055348.26-573136.0,0.4617838979647803,0,0.0008686305829403139,0,0.1253921762732192,1,0.37401192138583556,7,87.2612382289138,0.27888814997785205,0.30501611397598466,38.0,88.4510918,-57.5266895,13.95,11.13,2.8199997
J142032.17+801007.8,0.5360339747455843,1,0.009089949028249568,0,0.17321697282659493,1,0.2358784732812593,0,140.4549895761524,0.2603341323516977,0.2997198241222529,39.0,,,,,
J160736.59+064143.6,0.5282068354504109,1,0.011050855503965396,0,0.17033348318064445,1,0.244206922037428,1,87.51907794861556,0.2611548709972681,0.2993051516334314,40.0,,,,,
J140450.38-351222.1,0.4217730148936027,0,0.13117081794696914,0,0.1577408354885148,1,0.28057855290340855,3,156.02124424697027,0.2778407952479935,0.2984025409116519,41.0,,,,,
J163051.99+111410.9,0.5556518728004025,1,0.012569073936037704,0,0.19039324175382638,1,0.18626786490487096,1,48.54122151803246,0.2514962705471037,0.29494707086900357,42.0,,,,,
