# Atmospheric Modeling Input for TASNI Golden Targets
# Format: Designation  T_eff(K)  log(g)  [Fe/H]  Distance(pc)  W1-W2(mag)
#
J224135.04-575201.7       205.0      5.00       0.00       79.1       1.54
J235943.38+421431.2       207.9      5.00       0.00       34.8       1.85
J024322.26-090306.1       208.7      5.00       0.00       59.9       1.65
J025824.21-001038.3       210.0      5.00       0.00       28.7       1.98
J013943.47+281146.6       210.7      5.00       0.00       37.3       1.99
J135042.53-121943.8       210.9      5.00       0.00       38.5       1.79
J141733.97-242151.6       211.7      5.00       0.00       27.8       1.70
J134028.09+072400.9       213.0      5.00       0.00       24.4       1.83
J032729.52-105838.1       214.2      5.00       0.00       35.0       1.65
J024744.48-380453.7       216.1      5.00       0.00       189.1      1.61
J034529.57-495446.8       216.9      5.00       0.00       52.9       1.78
J092404.30+722921.8       218.7      5.00       0.00       52.0       1.72
J000946.82-790943.7       219.8      5.00       0.00       nan        1.67
J164031.79+575550.9       220.0      5.00       0.00       28.6       1.85
J234624.95+464749.9       226.0      5.00       0.00       65.1       1.64
J023704.79-033303.5       227.9      5.00       0.00       18.1       1.93
J014313.34-052339.2       233.3      5.00       0.00       38.5       1.62
J014636.47+012354.7       233.3      5.00       0.00       21.8       1.83
J140450.38-351222.1       238.1      5.00       0.00       18.6       1.56
J032813.34-454620.4       238.3      5.00       0.00       44.5       1.69
